,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2,26,136,25,14,90,16,23,113,115,154,245,330,471,1368,1864,0,0,0
3,115,79,14,12,11,102,234,462,485,446,512,1111,2000,1864,0,0,0,0
4,482,265,229,348,473,1008,1305,1271,1248,1548,2017,2592,1232,0,0,0,0,0
5,4193,4336,4336,4205,3982,3343,2891,2584,2584,2284,1504,0,0,0,0,0,0,0
1,2610,2610,2805,2812,2890,2895,2901,2907,2910,2910,3002,3182,3388,3654,4793,6978,9009,9384
2,21,191,7,78,5,6,6,86,83,92,180,206,266,1139,2185,2031,375,0
3,176,5,2,5,7,90,110,217,291,282,299,855,1985,2030,1731,375,0,0
4,267,176,180,118,236,591,924,981,898,987,1715,2460,2239,2561,675,0,0,0
5,6310,6402,6390,6371,6246,5802,5443,5193,5202,5113,4188,2681,1506,0,0,0,0,0
1,3588,3588,3870,3938,4020,4022,4056,4200,4149,4149,4200,4200,4200,4200,4200,4200,4200,4200
2,91,163,68,78,0,34,144,0,51,51,0,0,0,0,0,0,0,0
3,106,143,73,36,34,112,0,0,0,0,0,0,0,0,0,0,0,0
4,348,248,189,148,146,32,0,0,0,0,0,0,0,0,0,0,0,0
5,67,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2891,2891,3080,3106,3224,3238,3280,3443,3419,3414,3494,3676,4096,4518,5770,8219,10147,10147
2,57,186,26,102,5,32,163,62,86,87,184,420,422,1252,2449,1928,0,0
3,149,12,99,23,16,146,211,568,490,494,636,1068,2747,2654,1928,0,0,0
4,474,291,211,347,947,1117,1227,1096,1174,1355,2665,3245,2707,1723,0,0,0,0
5,6576,6767,6731,6569,5955,5614,5266,4978,4978,4797,3168,1738,175,0,0,0,0,0
1,5008,5008,5410,5517,5566,5656,5781,5893,5927,5927,6116,6333,6662,6985,8944,10582,10582,10582
2,135,297,107,11,70,118,112,105,71,189,217,329,323,1959,1638,0,0,0
3,186,107,1,38,20,8,213,540,545,427,527,1141,3324,1638,0,0,0,0
4,519,223,223,306,566,966,1462,1275,1225,1239,3145,2779,273,0,0,0,0,0
5,4734,4947,4841,4710,4360,3834,3014,2769,2814,2800,577,0,0,0,0,0,0,0
1,1917,1917,2016,2057,2102,2139,2215,2294,2308,2309,2445,2658,2941,3064,3261,3503,4459,5238
2,70,93,44,47,5,41,79,89,76,136,214,284,123,197,242,956,779,0
3,56,16,6,5,38,41,120,296,319,261,277,257,353,304,382,779,0,0
4,210,136,100,137,477,548,464,334,312,447,476,468,468,812,1353,0,0,0
5,2985,3076,3072,2992,2616,2469,2360,2225,2223,2085,1826,1571,1353,861,0,0,0,0
1,4478,4478,5096,5267,5290,5435,5447,5609,5592,5592,6047,6508,7442,9303,10531,13420,14608,14608
2,334,482,171,6,136,6,164,290,305,456,462,934,1861,1228,2889,1188,0,0
3,183,161,5,18,10,172,619,947,1118,967,1929,2485,2436,3624,1188,0,0,0
4,800,336,341,927,1093,1792,2489,2779,2610,2761,2697,4127,2869,453,0,0,0,0
5,8813,9151,8995,8390,8079,7203,5889,4983,4983,4832,3473,554,0,0,0,0,0,0
1,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8641,8641,9019,9134,9143,9146,9212,9216,9115,9115,9208,9401,9496,9688,10083,10804,14548,15604
2,22,279,102,6,16,81,19,100,201,96,196,96,193,395,721,3744,1056,0
3,270,99,15,17,96,198,283,214,126,221,215,409,614,801,3168,1056,0,0
4,701,303,320,581,657,497,330,314,402,507,609,994,2901,4720,1632,0,0,0
5,5970,6282,6148,5866,5692,5682,5760,5760,5760,5665,5376,4704,2400,0,0,0,0,0
1,2646,2646,2769,2797,2805,2813,2818,2848,2876,2876,2950,3046,3212,3508,3748,4132,4300,4300
2,14,123,28,4,1,5,30,54,26,74,96,166,296,240,384,168,0,0
3,128,8,26,26,30,48,123,234,302,254,298,344,336,360,168,0,0,0
4,285,169,168,265,492,715,606,423,328,352,404,552,456,192,0,0,0,0
5,1227,1354,1309,1208,972,719,723,741,768,744,552,192,0,0,0,0,0,0
1,1873,1873,1955,1974,2036,2087,2094,2117,2118,2121,2174,2253,2429,2693,3066,3538,4082,5000
2,22,79,19,41,6,7,24,34,35,54,80,176,264,373,472,544,918,0
3,78,13,28,26,50,53,157,312,189,163,233,448,677,472,374,918,0,0
4,237,104,94,209,279,420,660,515,562,566,867,763,440,1462,1088,0,0,0
5,2790,2931,2904,2750,2629,2433,2065,2022,2096,2096,1646,1360,1190,0,0,0,0,0
1,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2924,2924,3002,3210,3600,3600,3600,3550,3250,3250,3250,3425,3600,3600,3600,3600,3600,3600
2,312,78,182,182,0,0,0,50,100,0,175,175,0,0,0,0,0,0
3,234,182,26,208,0,0,0,0,200,100,0,0,0,0,0,0,0,0
4,130,104,338,0,0,0,0,0,50,250,175,0,0,0,0,0,0,0
5,0,312,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2675,2675,2756,2830,3015,3267,3213,3182,3024,3013,3038,3125,3090,3079,3224,3560,4300,4300
2,54,38,74,72,58,24,90,51,159,36,91,66,46,145,87,476,0,0
3,72,64,63,113,194,56,295,229,56,187,136,246,316,98,249,264,0,0
4,555,304,199,377,487,773,612,693,544,281,382,380,413,978,740,0,0,0
5,944,1219,1208,908,546,180,90,145,517,783,653,483,435,0,0,0,0,0
1,2479,2479,2521,2640,2855,3555,4127,4144,3774,3584,3481,3479,3551,3623,3907,4500,4500,4500
2,258,42,114,110,70,210,97,144,429,190,105,78,74,272,593,0,0,0
3,145,181,75,105,630,367,138,212,10,142,237,268,208,43,0,0,0,0
4,393,75,145,315,490,368,138,0,287,556,458,365,605,562,0,0,0,0
5,1225,1723,1645,1330,455,0,0,0,0,28,219,310,62,0,0,0,0,0
1,2247,2247,2408,2464,2489,2520,2543,2575,2569,2563,2661,2760,2961,3264,3988,4500,4500,4500
2,51,158,56,17,25,35,49,100,96,105,100,201,303,724,512,0,0,0
3,149,42,15,8,30,77,276,329,184,178,275,608,980,512,0,0,0,0
4,328,160,214,338,528,817,717,600,755,842,1080,931,256,0,0,0,0,0
5,1725,1893,1807,1673,1428,1051,915,896,896,812,384,0,0,0,0,0,0,0
1,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1954,1954,2173,2237,2261,2320,2336,2386,2369,2369,2494,2638,2999,3194,4250,4661,4661,4661
2,87,212,64,16,48,7,56,67,80,125,144,361,195,1056,411,0,0,0
3,138,13,13,8,19,80,140,316,341,296,430,987,1416,411,0,0,0,0
4,254,138,134,212,376,591,653,617,596,1133,1326,675,51,0,0,0,0,0
5,2228,2344,2277,2188,1957,1663,1476,1275,1275,738,267,0,0,0,0,0,0,0
1,1737,1737,1797,1825,1838,1842,1855,1882,1887,1887,1927,1979,2095,2283,2589,3374,4662,4900
2,12,59,27,11,3,13,27,36,31,40,52,116,188,306,785,1288,238,0
3,51,3,12,4,12,48,95,169,131,122,179,391,570,787,982,238,0,0
4,213,105,75,156,272,334,420,370,404,440,560,1001,1061,1524,544,0,0,0
5,2887,2996,2989,2904,2775,2663,2503,2443,2447,2411,2182,1413,986,0,0,0,0,0
1,2282,2282,2347,2455,2773,2841,2864,2863,2785,2693,2670,2687,2707,2753,2945,3305,3800,3800
2,176,65,108,110,32,59,27,59,100,96,34,28,54,146,360,495,0,0
3,27,111,5,212,82,143,177,230,66,4,120,142,83,60,3,0,0,0
4,324,54,242,436,913,757,732,648,771,486,217,207,335,555,492,0,0,0
5,991,1288,1098,587,0,0,0,0,78,521,759,736,621,286,0,0,0,0
1,2449,2449,2557,2611,2654,2711,2864,3006,3043,3027,3112,3264,3341,3350,3425,3800,3800,3800
2,100,107,53,43,29,91,134,55,28,113,164,93,25,75,375,0,0,0
3,88,63,33,7,31,63,124,173,339,274,316,318,284,225,0,0,0,0
4,356,216,243,329,564,527,678,566,390,386,208,125,150,150,0,0,0,0
5,807,965,914,810,522,408,0,0,0,0,0,0,0,0,0,0,0,0
1,2308,2308,2560,2596,2608,2610,2680,2687,2673,2673,2744,2830,3080,3450,4171,5267,7516,9306
2,30,251,35,6,6,82,7,69,83,71,86,250,370,721,1096,2249,1790,0
3,253,21,68,73,106,114,211,189,223,235,370,618,1243,1020,1931,1790,0,0
4,705,266,190,211,288,627,754,833,762,799,1355,1752,1774,3305,2108,0,0,0
5,6010,6460,6453,6420,6298,5873,5654,5528,5565,5528,4751,3856,2839,810,0,0,0,0
1,1745,1745,1916,1928,1980,1983,1991,1997,2007,2009,2120,2236,2448,2740,3523,4495,6600,6600
2,82,170,12,7,1,4,7,52,44,111,116,212,292,783,972,2105,0,0
3,105,7,15,59,18,61,153,250,273,208,271,480,1056,1027,1241,0,0,0
4,285,150,166,125,369,496,509,414,389,522,966,1417,1514,2050,864,0,0,0
5,4383,4528,4491,4481,4232,4056,3940,3887,3887,3750,3127,2255,1290,0,0,0,0,0
1,3516,3516,3682,3710,3712,3714,3731,3760,3749,3749,3805,3870,3987,4000,4000,4000,4000,4000
2,74,165,28,2,1,17,29,17,28,56,65,117,13,0,0,0,0,0
3,138,40,15,13,27,78,201,223,171,143,130,13,0,0,0,0,0,0
4,258,153,149,205,260,191,39,0,52,52,0,0,0,0,0,0,0,0
5,14,126,126,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1691,1691,1792,1811,1841,1862,1899,1922,1930,1930,2005,2159,2390,2626,3166,4065,4500,4500
2,31,101,17,33,14,33,22,27,19,75,154,231,236,540,899,435,0,0
3,82,7,21,8,19,40,84,185,229,174,187,520,1144,899,435,0,0,0
4,232,115,108,149,293,343,387,351,311,678,1377,1590,730,435,0,0,0,0
5,2464,2586,2562,2499,2333,2222,2108,2015,2011,1643,777,0,0,0,0,0,0,0
1,2569,2566,2797,2809,2867,2964,3066,3220,3288,3303,3465,3593,3827,3977,4393,4430,4800,4800
2,153,202,11,52,21,34,136,256,224,209,158,234,165,421,5,0,0,0
3,147,63,55,6,76,68,18,582,392,392,640,788,532,10,32,370,0,0
4,809,429,180,181,204,476,1490,742,896,896,537,185,276,392,370,0,0,0
5,1122,1540,1757,1752,1632,1258,90,0,0,0,0,0,0,0,0,0,0,0
1,3417,3409,3556,3598,3699,3785,3875,3943,3994,3994,4164,4300,4300,4300,4300,4300,4300,4300
2,130,131,51,53,16,87,68,85,34,170,136,0,0,0,0,0,0,0
3,18,45,39,48,70,20,68,272,272,136,0,0,0,0,0,0,0,0
4,482,136,130,238,311,408,289,0,0,0,0,0,0,0,0,0,0,0
5,253,579,524,363,204,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3181,3181,3487,3523,3518,3635,3651,3664,3660,3660,3803,3967,4253,4850,5631,7560,12196,13050
