,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2,164,100,62,89,178,221,243,269,274,471,850,1153,1032,910,645,210,0,0
3,1217,1281,1275,1244,1143,1087,1044,1005,998,801,380,0,0,0,0,0,0,0
1,2,0,112,114,147,206,257,334,368,373,451,515,633,707,915,934,1124,1124
2,561,346,124,131,161,289,822,790,756,751,673,609,491,417,209,190,0,0
3,561,778,888,879,816,629,45,0,0,0,0,0,0,0,0,0,0,0
1,8,4,74,96,146,192,240,272,296,296,376,440,440,440,440,440,440,440
2,312,152,110,172,198,248,200,168,144,144,64,0,0,0,0,0,0,0
3,120,284,256,172,96,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,157,176,175,235,242,249,245,245,316,399,544,848,1242,2209,4527,4954
2,341,249,98,158,412,632,833,887,887,926,1146,2054,3129,4106,3712,2745,427,0
3,4613,4705,4699,4620,4367,4087,3879,3818,3822,3783,3492,2501,1281,0,0,0,0,0
1,0,0,273,275,281,284,288,293,293,293,301,435,756,1138,1606,2639,4896,5262
2,559,487,214,281,537,924,1055,1119,1109,1172,1543,2623,3408,4124,3656,2623,366,0
3,4703,4775,4775,4706,4444,4054,3919,3850,3860,3797,3418,2204,1098,0,0,0,0,0
1,0,0,50,57,80,94,122,151,163,163,229,294,420,452,568,588,588,588
2,230,112,64,106,128,249,321,341,329,373,359,294,168,136,20,0,0,0
3,358,476,474,425,380,245,145,96,96,52,0,0,0,0,0,0,0,0
1,0,0,82,83,98,109,116,136,153,153,177,166,185,206,293,493,742,2099
2,307,203,145,172,161,168,179,176,159,165,238,392,465,1220,1806,1606,1357,0
3,1792,1896,1872,1844,1840,1822,1804,1787,1787,1781,1684,1541,1449,673,0,0,0,0
1,0,0,71,94,118,142,182,207,215,215,258,336,398,426,536,729,1017,1017
2,247,175,147,217,235,252,269,319,323,401,485,597,535,591,481,288,0,0
3,770,842,799,706,664,623,566,491,479,401,274,84,84,0,0,0,0,0
1,0,0,16,68,90,136,150,195,255,265,253,257,275,270,270,270,435,435
2,337,206,199,176,180,164,210,240,180,170,182,178,160,165,165,165,0,0
3,98,229,220,191,165,135,75,0,0,0,0,0,0,0,0,0,0,0
1,0,0,150,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
2,240,240,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,120,159,154,151,154,172,181,181,229,262,283,313,313,313,313,313
2,247,226,109,82,126,150,159,141,132,132,84,51,30,0,0,0,0,0
3,66,87,84,72,33,12,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,93,150,195,237,270,324,342,342,342,342,342,342,342,342,342,342
2,324,282,222,183,147,105,72,18,0,0,0,0,0,0,0,0,0,0
3,18,60,27,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,107,155,182,175,171,171,150,150,183,225,321,424,745,1687,2665,2665
2,353,235,183,274,312,338,377,409,427,526,758,1700,2146,2241,1920,978,0,0
3,2312,2430,2375,2236,2171,2152,2117,2085,2088,1989,1724,740,198,0,0,0,0,0
1,0,0,133,145,204,258,268,333,276,276,389,516,746,993,1889,2763,3293,3293
2,337,264,187,244,361,726,1012,1120,1177,1048,1803,2150,2388,2300,1404,530,0,0
3,2956,3029,2973,2904,2728,2309,2013,1840,1840,1969,1101,627,159,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,75,117,125,135,153,196,212,213,257,329,438,576,958,1603,2296,2296
2,179,132,102,133,248,578,635,559,538,558,832,1346,1648,1720,1338,693,0,0
3,2117,2164,2119,2046,1923,1583,1508,1541,1546,1525,1207,621,210,0,0,0,0,0
1,14,10,59,74,84,87,85,93,81,79,94,115,157,197,349,669,968,968
2,170,108,68,77,121,155,197,214,218,236,424,588,673,771,619,299,0,0
3,784,850,841,817,763,726,686,661,669,653,450,265,138,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,154,224,224,223,223,226,223,223,294,368,511,725,1348,1905,4049,4049
2,402,306,152,86,153,291,629,831,836,981,1195,1671,2734,3324,2701,2144,0,0
3,3647,3743,3743,3739,3672,3535,3197,2992,2990,2845,2560,2010,804,0,0,0,0,0
1,0,0,110,113,155,156,157,202,203,203,253,398,546,729,1368,2140,2880,2880
2,239,211,100,183,278,387,572,665,664,712,1321,1601,1871,2151,1512,740,0,0
3,2641,2669,2670,2584,2447,2337,2151,2013,2013,1965,1306,881,463,0,0,0,0,0
1,0,0,174,180,190,204,260,282,283,283,365,451,717,1157,1891,3678,4726,4726
2,344,265,97,181,425,809,972,1160,1159,1307,1830,3633,4009,3569,2835,1048,0,0
3,4382,4461,4455,4365,4111,3713,3494,3284,3284,3136,2531,642,0,0,0,0,0,0
1,0,0,157,223,233,233,292,354,296,296,478,543,672,865,2032,2957,3405,3405
2,437,366,267,260,376,501,650,1035,1093,1051,1741,2478,2733,2540,1373,448,0,0
3,2968,3039,2981,2922,2796,2671,2463,2016,2016,2058,1186,384,0,0,0,0,0,0
1,0,0,279,352,427,471,518,609,604,604,734,909,1103,1205,1641,2064,3114,3114
2,681,509,308,417,583,862,1216,1038,937,839,945,1050,1486,1909,1473,1050,0,0
3,2433,2605,2527,2345,2104,1781,1380,1467,1573,1671,1435,1155,525,0,0,0,0,0
1,0,0,109,121,154,157,165,197,165,165,234,304,463,539,887,1273,2924,2924
2,342,212,128,230,261,408,487,517,549,532,826,1020,1176,2385,2037,1651,0,0
3,2582,2712,2687,2573,2509,2359,2272,2210,2210,2227,1864,1600,1285,0,0,0,0,0
1,24,24,95,133,166,199,209,196,150,134,133,161,176,201,331,547,1061,2203
2,232,134,112,160,287,509,704,717,384,277,319,394,587,654,1080,1756,1242,100
3,2047,2145,2096,2010,1850,1595,1390,1390,1769,1892,1851,1748,1540,1448,892,0,0,0
1,6,6,78,105,105,107,108,110,102,102,140,184,252,366,575,751,1244,2114
2,320,164,97,96,182,264,318,377,381,441,553,654,818,1748,1539,1363,870,0
3,1788,1944,1939,1913,1827,1743,1688,1627,1631,1571,1421,1276,1044,0,0,0,0,0
1,0,0,85,93,121,137,177,195,205,205,220,264,356,444,707,1366,2062,2062
2,194,143,71,132,183,346,455,437,367,397,722,1468,1706,1618,1355,696,0,0
3,1868,1919,1906,1837,1758,1579,1430,1430,1490,1460,1120,330,0,0,0,0,0,0
1,1,0,85,95,103,108,141,145,137,135,169,233,318,412,686,1643,2085,2085
2,365,191,133,163,192,275,327,381,383,484,641,1602,1767,1673,1399,442,0,0
3,1719,1894,1867,1827,1790,1702,1617,1559,1565,1466,1275,250,0,0,0,0,0,0
1,0,0,116,177,216,258,260,301,294,294,378,471,772,1073,1329,1707,2463,3765
2,338,231,179,221,312,449,702,914,912,1035,1203,1362,1397,2104,2436,2058,1302,0
3,3427,3534,3470,3367,3237,3058,2803,2550,2559,2436,2184,1932,1596,588,0,0,0,0
1,0,0,110,120,182,216,243,256,251,249,288,330,369,447,649,1597,3575,3575
2,247,181,116,137,191,320,397,385,390,374,614,1057,1646,2735,2926,1978,0,0
3,3328,3394,3349,3318,3202,3039,2935,2934,2934,2952,2673,2188,1560,393,0,0,0,0
1,0,0,85,107,107,107,110,115,120,120,159,197,263,410,540,1058,2521,2831
2,254,184,98,128,177,285,325,353,348,383,482,1161,1665,2421,2291,1773,310,0
3,2577,2647,2648,2596,2547,2439,2396,2363,2363,2328,2190,1473,903,0,0,0,0,0
1,0,0,169,174,214,214,253,297,292,292,382,516,695,884,1292,1885,3320,3320
2,505,327,161,211,489,565,654,774,795,914,1216,1715,2485,2436,2028,1435,0,0
3,2815,2993,2990,2935,2617,2541,2413,2249,2233,2114,1722,1089,140,0,0,0,0,0
1,0,0,111,152,151,181,182,221,213,213,263,367,543,734,978,1265,1850,1940
2,345,216,177,190,269,458,544,609,613,668,822,938,1037,1206,962,675,90,0
3,1595,1724,1652,1598,1520,1301,1214,1110,1114,1059,855,635,360,0,0,0,0,0
1,2,2,35,46,75,103,127,148,143,126,123,131,174,239,324,480,944,1540
2,188,97,85,117,227,239,245,243,241,325,331,313,306,390,840,1060,596,0
3,1350,1441,1420,1377,1238,1198,1168,1149,1156,1089,1086,1096,1060,911,376,0,0,0
1,0,0,54,56,91,93,97,135,131,131,208,291,417,539,853,1385,2794,3610
2,194,116,129,165,345,426,573,552,562,566,655,988,1316,2444,2757,2225,816,0
3,3416,3494,3427,3389,3174,3091,2940,2923,2917,2913,2747,2331,1877,627,0,0,0,0
1,0,0,102,144,185,210,212,256,233,233,322,414,553,680,1049,2007,2525,2525
2,419,297,212,246,248,316,499,586,609,652,827,1313,1705,1845,1476,518,0,0
3,2106,2228,2211,2135,2092,1999,1814,1683,1683,1640,1376,798,267,0,0,0,0,0
1,0,0,188,204,215,219,220,268,260,260,327,400,548,696,1089,2250,4157,4557
2,685,346,156,195,260,380,531,615,620,668,1500,2031,2955,3811,3468,2307,400,0
3,3872,4211,4213,4158,4082,3958,3806,3674,3677,3629,2730,2126,1054,50,0,0,0,0
1,0,0,115,125,133,168,172,179,174,175,226,308,436,642,1005,1629,2789,3589
2,267,193,86,128,238,403,569,680,685,702,886,1419,1528,2947,2584,1960,800,0
3,3322,3396,3388,3336,3218,3018,2848,2730,2730,2712,2477,1862,1625,0,0,0,0,0
1,0,0,58,90,97,106,114,120,119,119,161,210,298,454,870,1720,2284,2284
2,206,154,97,105,179,306,491,601,590,535,808,1293,1745,1830,1414,564,0,0
3,2078,2130,2129,2089,2008,1872,1679,1563,1575,1630,1315,781,241,0,0,0,0,0
1,0,0,225,302,309,308,379,381,447,447,523,738,1027,1121,2338,3403,3403,3403
2,689,460,309,239,454,816,1396,1702,1636,1536,2028,2665,2376,2282,1065,0,0,0
3,2714,2943,2869,2862,2640,2279,1628,1320,1320,1420,852,0,0,0,0,0,0,0
1,0,0,108,152,186,197,217,244,235,235,306,391,536,576,576,576,576,576
2,376,250,202,277,318,379,359,332,341,341,270,185,40,0,0,0,0,0
3,200,326,266,147,72,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,184,187,189,246,245,246,239,239,301,367,516,699,1332,3077,5036,5036
2,828,308,127,186,306,371,564,798,805,920,1377,3519,4121,4337,3704,1959,0,0
3,4207,4727,4725,4663,4541,4419,4227,3992,3992,3877,3358,1150,399,0,0,0,0,0
1,0,0,57,65,71,74,84,110,111,111,134,199,323,471,677,1108,1412,1412
2,193,114,82,133,222,354,474,491,490,453,706,909,1032,941,735,304,0,0
3,1219,1298,1273,1214,1119,984,854,811,811,848,572,304,57,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,60,76,112,117,123,129,130,130,155,192,250,287,461,716,1367,1627
2,181,139,97,93,164,314,382,302,295,296,422,591,864,1125,1166,911,260,0
3,1446,1488,1470,1458,1351,1196,1122,1196,1202,1201,1050,844,513,215,0,0,0,0
1,0,0,132,172,177,182,217,249,230,230,281,386,516,647,1037,1431,2485,2485
2,661,339,192,203,293,383,529,555,565,673,949,1128,1783,1838,1448,1054,0,0
3,1824,2146,2161,2110,2015,1920,1739,1681,1690,1582,1255,971,186,0,0,0,0,0
1,0,0,51,65,70,77,91,91,72,72,91,127,172,215,350,509,769,809
2,124,98,63,77,125,152,176,178,197,227,299,442,497,594,459,300,40,0
3,685,711,695,667,614,580,542,540,540,510,419,240,140,0,0,0,0,0
1,1,1,142,149,198,199,245,346,386,386,504,566,727,893,1553,3135,3579,3579
2,371,282,142,246,394,578,816,960,920,791,1278,2040,2852,2686,2026,444,0,0
3,3207,3296,3295,3184,2987,2802,2518,2273,2273,2402,1797,973,0,0,0,0,0,0
1,0,0,45,85,185,194,174,159,113,113,128,150,206,307,425,655,985,985
2,184,105,124,337,414,570,574,271,217,177,315,523,493,645,560,330,0,0
3,801,880,816,563,386,221,237,555,655,695,542,312,286,33,0,0,0,0
1,0,0,89,95,147,172,198,208,181,169,201,274,361,442,672,1486,1954,1954
2,236,155,111,244,276,379,411,419,446,503,658,1017,1164,1356,1282,468,0,0
3,1718,1799,1754,1615,1531,1403,1345,1327,1327,1282,1095,663,429,156,0,0,0,0
1,0,0,99,126,134,165,176,207,220,220,258,316,416,506,724,982,1774,2350
2,297,211,119,140,219,331,454,445,422,438,508,738,998,1844,1626,1368,576,0
